n, time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0.015
1200,0
1300,0.004
1400,0.002
1500,0.002
1600,0.002
1700,0.003
1800,0.004
1900,0.004
2000,0.004
2100,0.004
2200,0.004
2300,0.005
2400,0.006
2500,0.006
2600,0.007
2700,0.007
2800,0.008
2900,0.008
3000,0.008
3100,0.009
3200,0.01
3300,0.01
3400,0.011
3500,0.012
3600,0.012
3700,0.014
3800,0.013
3900,0.014
4000,0.016
4100,0.015
4200,0.016
4300,0.017
4400,0.018
4500,0.019
4600,0.02
4700,0.02
4800,0.021
4900,0.021
5000,0.026
5100,0.025
5200,0.024
5300,0.025
5400,0.025
5500,0.028
5600,0.028
5700,0.028
5800,0.029
5900,0.03
6000,0.033
6100,0.032
6200,0.034
6300,0.035
6400,0.036
6500,0.036
6600,0.038
6700,0.04
6800,0.041
6900,0.041
7000,0.045
7100,0.045
7200,0.046
7300,0.048
7400,0.048
7500,0.049
7600,0.051
7700,0.052
7800,0.053
7900,0.054
8000,0.056
8100,0.061
8200,0.051
8300,0.07
8400,0.06
8500,0.071
8600,0.063
8700,0.063
8800,0.069
8900,0.075
9000,0.071
9100,0.069
9200,0.083
9300,0.07
9400,0.085
9500,0.074
9600,0.072
9700,0.083
9800,0.083
9900,0.089
10000,0.085
10100,0.119
10200,0.082
10300,0.111
10400,0.085
10500,0.097
10600,0.091
10700,0.108
10800,0.105
10900,0.096
11000,0.104
11100,0.111
11200,0.11
11300,0.115
11400,0.116
11500,0.114
11600,0.118
11700,0.121
11800,0.107
11900,0.132
12000,0.183
12100,0.223
12200,0.164
12300,0.166
12400,0.159
12500,0.186
12600,0.208
12700,0.213
12800,0.221
12900,0.208
13000,0.201
13100,0.228
13200,0.207
13300,0.197
13400,0.207
13500,0.205
13600,0.185
13700,0.192
13800,0.203
13900,0.196
14000,0.21
14100,0.201
14200,0.188
14300,0.203
14400,0.228
14500,0.232
14600,0.238
14700,0.229
14800,0.262
14900,0.264
15000,0.279
15100,0.283
15200,0.294
15300,0.284
15400,0.249
15500,0.248
15600,0.251
15700,0.255
