n, time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0.008
1200,0
1300,0
1400,0.008
1500,0
1600,0
1700,0.008
1800,0.008
1900,0
2000,0.008
2100,0.009
2200,0.008
2300,0
2400,0.008
2500,0.008
2600,0.008
2700,0.016
2800,0.008
2900,0.008
3000,0.016
3100,0.008
3200,0.016
3300,0.008
3400,0.016
3500,0.016
3600,0.016
3700,0.016
3800,0.016
3900,0.016
4000,0.024
4100,0.016
4200,0.024
4300,0.024
4400,0.025
4500,0.016
4600,0.024
4700,0.024
4800,0.032
4900,0.024
5000,0.033
5100,0.024
5200,0.033
5300,0.032
5400,0.033
5500,0.032
5600,0.04
5700,0.04
5800,0.04
5900,0.04
6000,0.048
6100,0.041
6200,0.056
6300,0.048
6400,0.048
6500,0.048
6600,0.056
6700,0.056
6800,0.056
6900,0.065
7000,0.056
7100,0.064
7200,0.065
7300,0.057
7400,0.072
7500,0.057
7600,0.064
7700,0.072
7800,0.073
7900,0.072
8000,0.08
8100,0.072
8200,0.073
8300,0.08
8400,0.089
8500,0.088
8600,0.088
8700,0.089
8800,0.096
8900,0.08
9000,0.096
9100,0.089
9200,0.097
9300,0.096
9400,0.097
9500,0.09
9600,0.097
9700,0.098
9800,0.097
9900,0.107
10000,0.097
10100,0.106
10200,0.106
10300,0.121
10400,0.106
10500,0.114
10600,0.114
10700,0.114
10800,0.114
10900,0.122
11000,0.138
11100,0.144
11200,0.13
11300,0.144
11400,0.161
11500,0.152
11600,0.138
11700,0.16
11800,0.152
11900,0.145
12000,0.147
12100,0.138
12200,0.178
12300,0.161
12400,0.177
12500,0.176
12600,0.177
12700,0.184
12800,0.184
12900,0.184
13000,0.187
13100,0.219
13200,0.217
13300,0.193
13400,0.201
13500,0.21
13600,0.2
13700,0.193
13800,0.179
13900,0.202
14000,0.193
14100,0.219
14200,0.226
14300,0.21
14400,0.241
14500,0.25
14600,0.258
14700,0.234
14800,0.241
14900,0.249
15000,0.282
15100,0.267
15200,0.283
15300,0.334
15400,0.276
15500,0.268
15600,0.401
15700,0.289
15800,0.281
15900,0.275
